u,v,length,route,poly
N7,N14,112.07,Major-Lime,3019 1404|2997 1434|2979 1469|2960 1499
N14,N16,47.57,Major-Lime,2943 1526|2935 1542|2919 1567
N16,N19,90.09,Major-Lime,2906 1590|2886 1626|2879 1635|2879 1637|2860 1667
N19,N26,338.29,Major-Lime,2844 1692|2827 1716|2787 1755|2763 1783|2742 1804|2717 1823|2677 1849|2667 1852|2656 1858|2640 1862|2592 1879|2579 1882|2576 1884
N26,N27,21.73,Major-Lime,2552 1889|2551 1891|2534 1894|2533 1896
N27,N35,498.71,Major-Lime,2510 1900|2494 1905|2469 1906|2468 1905|2463 1905|2458 1902|2450 1900|2445 1900|2420 1895|2404 1894|2392 1891|2383 1891|2382 1890|2366 1890|2365 1889|2317 1890|2316 1889|2302 1889|2301 1890|2279 1890|2274 1891|2264 1895|2256 1897|2250 1897|2247 1898|2244 1901|2215 1908|2198 1916|2193 1917|2162 1931|2155 1933|2110 1955|2103 1962|2083 1970|2067 1981|2050 1989|2043 1994|2041 1994
N55,N62,170.74,Major-Cyan,2268 2533|2319 2588|2340 2608|2349 2620|2383 2654|2385 2655|2386 2654
N62,N65,58.79,Major-Cyan,2402 2672|2424 2695|2433 2702|2444 2713
N65,N68,70.89,Major-Cyan,2461 2729|2469 2739|2503 2773|2509 2781
N68,N71,43.09,Major-Cyan,2528 2799|2529 2803|2532 2807|2555 2832
N71,N77,135.84,Major-Cyan,2574 2852|2630 2908|2668 2950
N77,N85,164.76,Major-Cyan,2687 2972|2804 3088
N60,N67,106.53,Major-Magenta,2078 2660|2076 2662|2074 2670|2073 2680|2071 2686|2071 2692|2065 2710|2065 2715|2063 2720|2063 2727|2060 2735|2060 2740|2058 2748|2056 2751|2056 2756|2054 2762
N67,N74,166.95,Major-Magenta,2047 2789|2033 2821|2016 2850|2011 2855|1995 2878|1989 2884|1986 2890|1978 2897|1972 2899|1968 2902|1949 2920
N74,N84,155.92,Major-Magenta,1929 2946|1880 2996|1878 3000|1868 3010|1862 3019|1857 3024|1846 3045|1843 3055|1835 3068
N84,N92,132.06,Major-Magenta,1827 3100|1825 3104|1824 3114|1821 3125|1818 3153|1813 3168|1813 3177|1815 3184|1815 3194|1816 3195|1817 3213|1818 3214|1817 3229
N92,N95,11.4,Major-Magenta,1799 3258|1801 3265|1800 3269
