Grid,Name,Sector,Affiliation,Suns,Moons,Population,Climate,Terrain
C-16,Ssi-ruuvi,Cluster,,,,,,
D-7,Bardram Scoft,,,,,,,
D-7,Vun'Hanna,,,,,,,
D-7,Twilight Void,The,,,,,,
E-8,Bogo Rai,,Chiss Ascendancy,,,,,
F-4,Zakuul,,Eternal Empire Eternal Alliance Elected Zakuulan government,1,3,,,Swamps and bogs Forests Fields
F-6,Zosha,,Galactic Republic,1,,None,,
F-7,Exegol,,Sith Sith Eternal Galactic Empire First Order,1: Exegol,None,,"Hot and dry , stormy",Rocky Desert
F-7,Sunrise,,The Magys's people Grysks Agbui Chiss Ascendancy,Sunrise's sun,,,,Mountains Forests
F-8,Celwis,,Chiss Ascendancy Xodlak family Coduyo family,,At least 2 Celwis's largest moon,,,
F-8,Dioya,,,,,,,
F-9,Klasse Ephemora,,Chiss Ascendancy,,,,,
F-9,Yashuvhu,,Chiss Ascendancy,,,,,
F-9,Zyzek,,,,,,,
F-13,Ahch-To,,Jedi Order,"2 , including the second sun",1: Moon of Ahch-To,,Temperate,Oceans Volcanic islands
G-3,Ardis,,,,,,,
G-5,Avernio,,,,,,,
G-5,Iokath,,,Iokath system's star,,,,
G-5,Munlali Mafir,,,,,,Temperate,Destroyed after the passing of Zonama Sekot
G-6,CZ-198,,Czerka Corporation,,,,Windy,Rocky Barren
G-6,Demir,,First Order,2,At least 1,,,Rocky
G-6,Vondoru,,,,,,,
G-7,Hibrath,,,,,,,
G-7,Ilum,,Jedi Order Sith Galactic Empire First Order,Asar (original) Dassal system's sun (briefly) Unidentified star (briefly in 34 ABY ),2 (originally) 0 (34 ABY),"5,200 (nonpermanent residents)",Frigid,Crystallized glaciers Ice plains Mountains Forests
G-7,Luprora,,,,,,,Rocky Seas
G-7,Maher,,,,,,,
G-7,Obsidia,,,,,,,Rocky
G-8,Massoss,,Chiss Ascendancy Coduyo family,,,,,
G-8,Pesfavri,,Chiss Ascendancy,,,,,
G-8,UR-6572-AK,,,,,,,
G-8,UR41-284,,,,,,,
G-9,Carrivar,,,,,,,
G-9,Hoxim,,Grysk Hegemony (secretly),,,,,Forest Grassland Mountains
G-9,Osseriton,,,,,,,Harsh
G-9,Pleknok,,,,,,,
G-9,Umaren'k,,,,,,,
G-10,Crakull,,,,,,,
G-11,Gyndorath,,,,,,,
G-11,Odessen,,Eternal Alliance Galactic Republic,1,,,Mild,Forests Mountainous
G-11,Rakata,Prime,,,,,,
G-13,Irkalla,,,,,,,
G-14,Agaris,,Galactic Empire,At least 1: Agaris' sun,At least 1: Agaris' moon,,Damp,
G-14,Magna,,,,,,,
G-14,Quellus,,,,,,,
G-14,Seeratter,,,,,,,
G-14,Shikitari,,None,,,,,Jungle
G-14,Vexos,,,,,,,
G-14,Gem,The,,,,,,
G-15,Faket,,,,,,,
G-15,Nishmar,,,,,,,
G-15,Batuu,Trilon,,,,,,
G-15,Umme,Trilon,,,,,,
